identifier,incident,start date,end date,number of deaths,state,start_month,end_month
IBD031681,Food Poisoning,2025-04-18,2025-04-18,1,Imo,4,4
IBD032064,Gunmen Kill Man,2025-03-31,2025-03-31,1,Benue,3,3
IBD032058,Auto Crash,2025-03-31,2025-03-31,1,Lagos,3,3
IBD032066,Stray Bullets,2025-03-31,2025-03-31,1,Sokoto,3,3
IBD032062,Lightening Kills Herder,2025-03-30,2025-03-30,1,Kaduna,3,3
IBD032049,Auto Crash,2025-03-30,2025-03-30,9,Katsina,3,3
IBD032065,Sallah Day Celebration Clash,2025-03-30,2025-03-30,4,Plateau,3,3
IBD032054,Auto Crash,2025-03-30,2025-03-30,1,Abia,3,3
IBD032048,Gas Explosion,2025-03-30,2025-03-30,2,Delta,3,3
IBD032061,Auto Crash,2025-03-30,2025-03-30,1,Ogun,3,3
IBD032052,Stampede,2025-03-30,2025-03-30,2,Gombe,3,3
IBD032063,Fishing Activities,2025-03-30,2025-03-30,2,Kogi,3,3
IBD032057,Herdsmen Kill Graduate,2025-03-29,2025-03-29,1,Abuja,3,3
IBD032060,Labourer Kills Employer,2025-03-29,2025-03-29,1,Ondo,3,3
IBD032050,Auto Crash,2025-03-29,2025-03-29,1,Lagos,3,3
IBD032059,Extrajudicial Killing,2025-03-29,2025-03-29,1,Delta,3,3
IBD032046,Security Forces Vs Shiites Members,2025-03-28,2025-03-28,6,Abuja,3,3
IBD032056,Pirates Vs Fashion Designer Offshore,2025-03-28,2025-03-28,1,Rivers,3,3
IBD032042,Gas Explosion,2025-03-27,2025-03-27,2,Abia,3,3
IBD032051,Gunmen Attack,2025-03-27,2025-03-27,52,Plateau,3,3
IBD032028,Auto Crash,2025-03-26,2025-03-26,2,Kano,3,3
IBD032027,Lakurawa Vs Customs Officers,2025-03-26,2025-03-26,2,Kebbi,3,3
IBD032045,Domestic Violence,2025-03-26,2025-03-26,1,Sokoto,3,3
IBD032037,Domestic Violence,2025-03-26,2025-03-26,1,Edo,3,3
IBD032033,Taskforce Raid,2025-03-26,2025-03-26,2,Abuja,3,3
IBD032032,Chieftaincy Tussle,2025-03-26,2025-03-26,1,Ondo,3,3
IBD032039,Domestic Violence,2025-03-26,2025-03-26,1,Lagos,3,3
IBD032044,Domestic Violence,2025-03-25,2025-03-25,2,Ekiti,3,3
IBD032030,Rainstorm,2025-03-25,2025-03-25,3,Cross River,3,3
IBD032025,Auto Crash,2025-03-25,2025-03-25,2,Abia,3,3
IBD032034,Gunmen Vs Land Agent,2025-03-25,2025-03-25,1,Delta,3,3
IBD032041,Pipeline Vandal,2025-03-25,2025-03-25,1,Rivers,3,3
IBD032020,Troops Vs Armed Robber,2025-03-24,2025-03-24,1,Plateau,3,3
IBD032019,Troops Kill Bandit,2025-03-24,2025-03-24,1,Plateau,3,3
IBD032014,Kidnapper,2025-03-24,2025-03-24,1,Anambra,3,3
IBD032026,Ritual Killing,2025-03-24,2025-03-24,2,Rivers,3,3
IBD032017,Army Vs Boko Haram,2025-03-24,2025-03-24,8,Borno,3,3
IBD032009,Jailbreak,2025-03-24,2025-03-24,1,Kogi,3,3
IBD032055,Auto Crash,2025-03-24,2025-03-24,1,Lagos,3,3
IBD032012,Gunmen Vs Police,2025-03-24,2025-03-24,1,Enugu,3,3
IBD032016,Army Vs Boko Haram,2025-03-24,2025-03-24,3,Borno,3,3
IBD031984,Extrajudicial Killing,2025-03-23,2025-03-23,2,Cross River,3,3
IBD032006,Assailants Vs Motorcycle Rider,2025-03-23,2025-03-23,1,Bauchi,3,3
IBD032018,Hunter Killed,2025-03-23,2025-03-23,1,Ogun,3,3
IBD032007,Gunmen Attack,2025-03-23,2025-03-23,3,Plateau,3,3
IBD032008,Auto Crash,2025-03-23,2025-03-23,8,Osun,3,3
IBD032010,Bandits Kill 2,2025-03-23,2025-03-23,2,Kogi,3,3
IBD031983,Bandits Attack,2025-03-22,2025-03-22,1,Sokoto,3,3
IBD031989,Bandits Vs Security Operatives,2025-03-22,2025-03-22,10,Zamfara,3,3
IBD031985,Kidnappers Kill 1,2025-03-22,2025-03-22,1,Benue,3,3
IBD032035,Kidnap Victims,2025-03-22,2025-03-22,3,Kaduna,3,3
IBD031987,Herdsmen Attack,2025-03-22,2025-03-22,1,Edo,3,3
IBD031995,Herders Kill Farmer,2025-03-22,2025-03-22,1,Abuja,3,3
IBD031990,Assailants Vs Security Man,2025-03-22,2025-03-22,1,Bauchi,3,3
IBD032011,Pos Operator,2025-03-22,2025-03-22,1,Adamawa,3,3
IBD032021,Generator Fume Kill 2,2025-03-22,2025-03-22,2,Rivers,3,3
IBD031992,Communal Clash,2025-03-21,2025-03-21,2,Osun,3,3
IBD031996,Hoodlums Vs Worshippers,2025-03-21,2025-03-21,1,Kaduna,3,3
IBD032040,Man Dies In Hotel,2025-03-21,2025-03-21,1,Delta,3,3
IBD032038,Domestic Violence,2025-03-21,2025-03-21,1,Edo,3,3
IBD032031,Police Vs Kidnappers,2025-03-21,2025-03-21,5,Delta,3,3
IBD031986,Gunmen Attack,2025-03-20,2025-03-20,3,Anambra,3,3
IBD032004,Security Force Vs Lakurawa,2025-03-20,2025-03-20,2,Kebbi,3,3
IBD032047,Northern Hunters,2025-03-20,2025-03-20,16,Edo,3,3
IBD031981,Miyetti Allah Chairman,2025-03-20,2025-03-20,1,Plateau,3,3
IBD032013,Kidnap Victim,2025-03-20,2025-03-20,1,Bauchi,3,3
IBD031980,Herdsmen Attack,2025-03-19,2025-03-19,5,Benue,3,3
IBD031982,Rape Victim,2025-03-19,2025-03-19,1,Delta,3,3
IBD032002,Inferno,2025-03-19,2025-03-19,1,Yobe,3,3
IBD031994,Banditary,2025-03-19,2025-03-19,10,Katsina,3,3
IBD031971,Domestic Violence,2025-03-19,2025-03-19,1,Lagos,3,3
IBD031979,Assailants Vs Security Guard,2025-03-19,2025-03-19,1,Ebonyi,3,3
IBD031972,Explosion Auto Crash,2025-03-19,2025-03-19,10,Abuja,3,3
IBD031975,Herders Vs Farmers,2025-03-19,2025-03-19,10,Ondo,3,3
IBD031970,Auto Crash,2025-03-18,2025-03-18,1,Rivers,3,3
IBD031993,Naf Vs Boko Haram,2025-03-18,2025-03-18,25,Borno,3,3
IBD031978,Rainstorm Kill 1,2025-03-18,2025-03-18,1,Ogun,3,3
IBD031974,Army Vs Terrorist,2025-03-18,2025-03-18,7,Zamfara,3,3
IBD031977,Police Vs Gunmen,2025-03-18,2025-03-19,12,Benue,3,3
IBD031969,Communal Clash,2025-03-17,2025-03-17,2,Ebonyi,3,3
IBD031973,Army Vs Terrorist,2025-03-17,2025-03-17,3,Katsina,3,3
IBD031991,Naf Vs Boko Haram,2025-03-17,2025-03-17,10,Borno,3,3
IBD031988,Lawyer Vs Student,2025-03-17,2025-03-17,1,Imo,3,3
IBD032003,Electrocution,2025-03-17,2025-03-17,1,Lagos,3,3
IBD031976,Herdsmen Attack,2025-03-17,2025-03-17,2,Benue,3,3
IBD032036,Naf Vs Terrorists,2025-03-16,2025-03-16,40,Borno,3,3
IBD032005,Explosion,2025-03-16,2025-03-16,1,Rivers,3,3
IBD031955,Auto Crash,2025-03-16,2025-03-16,7,Imo,3,3
IBD031997,Boy Suffocates,2025-03-16,2025-03-16,1,Lagos,3,3
IBD032015,Domestic Violence,2025-03-16,2025-03-16,2,Edo,3,3
IBD031952,Armed Robbers Vs Watchman,2025-03-16,2025-03-16,1,Katsina,3,3
IBD032023,Auto Crash,2025-03-16,2025-03-16,2,Kaduna,3,3
IBD031959,Gunmen Vs Fulani Leader,2025-03-16,2025-03-16,1,Kwara,3,3
IBD015011,Mob Attack,2025-03-15,2025-03-15,1,Lagos,3,3
IBD031949,Auto Crash,2025-03-15,2025-03-15,6,Anambra,3,3
IBD031958,Assailants Vs Bride,2025-03-15,2025-03-15,1,Jigawa,3,3
IBD031950,Army Vs Bandits,2025-03-15,2025-03-15,12,Katsina,3,3
IBD031953,Army Vs Bandits,2025-03-15,2025-03-15,12,Katsina,3,3
IBD032022,Mob Vs Armed Robber,2025-03-15,2025-03-15,1,Lagos,3,3
IBD031942,Communal Clash,2025-03-15,2025-03-15,2,Cross River,3,3
IBD031965,Cult Clash,2025-03-15,2025-03-15,4,Ogun,3,3
IBD031945,Police Vs Kidnappers,2025-03-14,2025-03-14,6,Abia,3,3
IBD031967,Gunmen Vs Herders,2025-03-14,2025-03-14,5,Enugu,3,3
IBD031946,Police Vs Kidnapper,2025-03-14,2025-03-14,1,Nasarawa,3,3
IBD031948,Drowns,2025-03-14,2025-03-14,1,Rivers,3,3
IBD031968,Domestic Violence,2025-03-14,2025-03-14,1,Abia,3,3
IBD031943,Naf Vs Bandit,2025-03-13,2025-03-13,22,Katsina,3,3
IBD031944,Catholic Seminarian,2025-03-13,2025-03-13,1,Edo,3,3
IBD031956,Farmer,2025-03-12,2025-03-12,1,Benue,3,3
IBD031947,Soldiers Vs Kidnappers,2025-03-12,2025-03-12,2,Plateau,3,3
IBD031938,Auto Crash,2025-03-12,2025-03-12,1,Edo,3,3
IBD031954,Vigilantes,2025-03-11,2025-03-11,2,Abuja,3,3
IBD032024,Kidnappers Vs Village Head,2025-03-11,2025-03-11,1,Kaduna,3,3
IBD031929,Auto Crash Explosion,2025-03-11,2025-03-11,3,Lagos,3,3
IBD031928,Herders Attack,2025-03-11,2025-03-11,4,Benue,3,3
IBD031937,Army Vs Terrorist,2025-03-11,2025-03-11,3,Kaduna,3,3
IBD031957,Bandits Vs Worshippers,2025-03-10,2025-03-10,3,Nasarawa,3,3
IBD031909,Domestic Violence,2025-03-10,2025-03-10,1,Akwa Ibom,3,3
IBD031924,Extrajudicial Killing,2025-03-10,2025-03-10,1,Niger,3,3
IBD031927,Extrajudicial Killing,2025-03-10,2025-03-10,1,Niger,3,3
IBD031904,Auxiliary Nurse,2025-03-10,2025-03-10,1,Delta,3,3
IBD031926,Extrajudicial Killings,2025-03-10,2025-03-10,1,Niger,3,3
IBD031916,Police Vs Kidnappers,2025-03-10,2025-03-10,1,Akwa Ibom,3,3
IBD031925,Farmers Vs Herders,2025-03-10,2025-03-10,11,Nasarawa,3,3
IBD031930,Assailant Vs Man,2025-03-10,2025-03-10,1,Lagos,3,3
IBD031961,Police Vs Kidnappers,2025-03-09,2025-03-09,4,Delta,3,3
IBD031911,Lakurawa Bandits Kills 11,2025-03-09,2025-03-09,13,Kebbi,3,3
IBD031910,Suspected Herders Kill 20,2025-03-09,2025-03-09,17,Ondo,3,3
IBD031915,Customs Operavtives Vs Smugglers,2025-03-09,2025-03-09,1,Ogun,3,3
IBD031912,Auto Crash,2025-03-09,2025-03-09,8,Edo,3,3
IBD031917,Auto Crash,2025-03-09,2025-03-09,4,Ogun,3,3
IBD031923,Auto Crash,2025-03-09,2025-03-09,1,Abuja,3,3
IBD031921,Kidnappers Vs Woman,2025-03-09,2025-03-09,1,Kaduna,3,3
IBD031934,Murder,2025-03-08,2025-03-08,1,Niger,3,3
IBD031935,Drown,2025-03-08,2025-03-08,1,Niger,3,3
IBD031919,Palm Tree Kills Man,2025-03-08,2025-03-08,1,Ogun,3,3
IBD031906,Fight,2025-03-08,2025-03-08,1,Lagos,3,3
IBD031922,Man Vs Friend,2025-03-08,2025-03-08,1,Abuja,3,3
IBD031905,Cultist Vs Dj,2025-03-08,2025-03-08,1,Lagos,3,3
IBD031931,Boko Haram Vs Vigilante,2025-03-08,2025-03-08,1,Yobe,3,3
IBD031914,Gunmen Vs Apc Council Chairman,2025-03-08,2025-03-08,1,Lagos,3,3
IBD031900,Communal Clash,2025-03-08,2025-03-08,1,Niger,3,3
IBD031897,Miyetti Allah Chairman,2025-03-08,2025-03-08,1,Kwara,3,3
IBD031951,Boy Beheaded,2025-03-07,2025-03-07,1,Adamawa,3,3
IBD031932,Herdsmen Attack,2025-03-07,2025-03-07,2,Kogi,3,3
IBD031899,Auto Crash,2025-03-07,2025-03-07,5,Abia,3,3
IBD031898,Ritual Killing,2025-03-07,2025-03-07,1,Edo,3,3
IBD031902,Herdsmen Attack,2025-03-07,2025-03-08,15,Benue,3,3
IBD031885,Medical Negligence,2025-03-06,2025-03-06,5,Benue,3,3
IBD031876,Electrocution,2025-03-06,2025-03-06,1,Ogun,3,3
IBD031940,Domestic Violence,2025-03-06,2025-03-06,1,Ogun,3,3
IBD031895,Security Operatives Vs Terrorist,2025-03-06,2025-03-06,1,Kebbi,3,3
IBD031882,Building Collapse,2025-03-05,2025-03-05,3,Lagos,3,3
IBD031891,Security Operatives Vs Bandits,2025-03-05,2025-03-05,12,Zamfara,3,3
IBD031892,Auto Crash Explosion,2025-03-05,2025-03-05,7,Niger,3,3
IBD031998,Drowns,2025-03-05,2025-03-05,1,Abuja,3,3
IBD031880,Gunmen Vs Cleric,2025-03-05,2025-03-05,1,Kaduna,3,3
IBD031894,Auto Crash,2025-03-05,2025-03-05,2,Bayelsa,3,3
IBD031871,Explosion,2025-03-04,2025-03-04,2,Oyo,3,3
IBD032053,Auto Crash,2025-03-04,2025-03-04,1,Lagos,3,3
IBD031869,Police Vs Herder,2025-03-04,2025-03-04,1,Edo,3,3
IBD031870,Auto Crash,2025-03-04,2025-03-04,17,Ogun,3,3
IBD031865,Gunmen Attack,2025-03-04,2025-03-04,2,Abia,3,3
IBD031881,Auto Crash,2025-03-04,2025-03-04,10,Anambra,3,3
IBD031848,Bridge Collapse,2025-03-04,2025-03-04,4,Akwa Ibom,3,3
IBD031873,Gunmen Vs Immigration Officer,2025-03-04,2025-03-04,1,Abuja,3,3
IBD031889,Man Dies Working On Farm,2025-03-04,2025-03-04,1,Abuja,3,3
IBD031884,Police Vs Kidnappers,2025-03-04,2025-03-04,14,Abuja,3,3
IBD031879,Auto Crash,2025-03-03,2025-03-03,4,Kogi,3,3
IBD031877,Gunmen Attack,2025-03-03,2025-03-03,2,Benue,3,3
IBD031890,Boko Harm Kill Police Officer Children,2025-03-03,2025-03-03,2,Borno,3,3
IBD031868,Gunmen Vs Site Engineer,2025-03-03,2025-03-03,1,Edo,3,3
IBD031867,Drown,2025-03-03,2025-03-03,1,Abuja,3,3
IBD031893,Assailant Vs Man,2025-03-03,2025-03-03,1,Ogun,3,3
IBD031936,Bandit Leader,2025-03-03,2025-03-03,1,Abuja,3,3
IBD031941,Woman Killed,2025-03-02,2025-03-02,1,Bauchi,3,3
IBD031888,Herders Kill Man,2025-03-02,2025-03-02,1,Abuja,3,3
IBD031858,Gunmen Kill One,2025-03-02,2025-03-02,1,Gombe,3,3
IBD031874,Community Leader Killed,2025-03-02,2025-03-02,1,Anambra,3,3
IBD031866,Teenager,2025-03-02,2025-03-02,1,Ogun,3,3
IBD031861,Herdsmen Vs Vigilante,2025-03-02,2025-03-02,1,Delta,3,3
IBD031883,Drug Addict Kill Phone Charger,2025-03-01,2025-03-01,1,Ogun,3,3
IBD031853,Domestic Violence,2025-03-01,2025-03-01,1,Bauchi,3,3
IBD031854,Herdsmen Vs Farmers,2025-03-01,2025-03-01,6,Benue,3,3
IBD031939,Policeman Vs Okada Riders,2025-03-01,2025-03-01,1,Plateau,3,3
IBD031659,Police Vs Kidnappers,2025-03-01,2025-03-01,2,Kwara,3,3
IBD031855,Gunmen Vs Businessman,2025-03-01,2025-03-01,1,Ondo,3,3
IBD031913,Female Corpses,2025-03-01,2025-03-01,2,Delta,3,3
IBD031852,Auto Crash,2025-03-01,2025-03-01,12,Edo,3,3
IBD031857,Gunmen Vs Man Zamafara,2025-03-01,2025-03-01,1,Unknown,3,3
IBD031864,Soldiers Vs Boko Haram,2025-03-01,2025-03-01,15,Borno,3,3
IBD031860,Cult Clash,2025-02-28,2025-02-28,2,Delta,2,2
IBD032001,Inferno,2025-02-28,2025-02-28,1,Yobe,2,2
IBD031856,Herdsmen Attack,2025-02-28,2025-02-28,1,Delta,2,2
IBD031808,Auto Crash,2025-02-28,2025-02-28,1,Kwara,2,2
IBD031887,Domestic Violence,2025-02-28,2025-02-28,1,Bauchi,2,2
IBD031862,Banditry,2025-02-27,2025-02-27,2,Zamfara,2,2
IBD031839,Auto Crash,2025-02-27,2025-02-27,6,Enugu,2,2
IBD031846,Herdsmen Attack,2025-02-27,2025-02-27,2,Edo,2,2
IBD031851,Banditry,2025-02-27,2025-02-27,17,Katsina,2,2
IBD031847,Soldier Kill Man,2025-02-27,2025-02-27,1,Akwa Ibom,2,2
IBD031886,Gunmen Attack,2025-02-27,2025-02-27,1,Ogun,2,2
IBD031901,Domestic Violence,2025-02-26,2025-02-26,1,Lagos,2,2
IBD031850,Bandits Vs Farmers,2025-02-26,2025-02-26,10,Niger,2,2
IBD031844,Cult Attack,2025-02-26,2025-02-26,1,Bayelsa,2,2
IBD031837,Boko Haram Attack,2025-02-26,2025-02-26,7,Borno,2,2
IBD031843,Naf Officer Kill Man,2025-02-26,2025-02-26,1,Kaduna,2,2
IBD031840,Land Dispute,2025-02-26,2025-02-26,1,Delta,2,2
IBD031834,Boko Haram Attack,2025-02-25,2025-02-26,40,Adamawa,2,2
IBD031822,Kidnappers Kill Hunter,2025-02-25,2025-02-25,1,Oyo,2,2
IBD031838,Boko Haram Iswap Landmine Kills 2,2025-02-25,2025-02-25,2,Borno,2,2
IBD031833,Kidnappers Vs Police Officers,2025-02-25,2025-02-25,2,Plateau,2,2
IBD031826,Auto Crash,2025-02-25,2025-02-25,10,Yobe,2,2
IBD031828,Auto Crash,2025-02-25,2025-02-25,3,Sokoto,2,2
IBD031812,Auto Crash,2025-02-24,2025-02-24,9,Ogun,2,2
IBD031824,Auto Crash,2025-02-24,2025-02-24,2,Lagos,2,2
IBD031830,Boat Mishap,2025-02-24,2025-02-24,5,Delta,2,2
IBD031823,Domestic Violence,2025-02-24,2025-02-24,1,Bauchi,2,2
IBD031842,Auto Crash,2025-02-24,2025-02-24,1,Ogun,2,2
IBD031832,Auto Crash,2025-02-24,2025-02-24,2,Bauchi,2,2
IBD031821,Auto Crash,2025-02-24,2025-02-24,1,Lagos,2,2
IBD031845,Police Kill Man,2025-02-24,2025-02-24,1,Enugu,2,2
IBD031836,Herdsmen Vs Vigilante Commander,2025-02-24,2025-02-24,1,Edo,2,2
IBD031813,Herders Vs Farmers,2025-02-24,2025-02-24,2,Edo,2,2
IBD031875,Domestic Violence,2025-02-24,2025-02-24,1,Bauchi,2,2
IBD031820,Security Operatives Vs Artisan,2025-02-23,2025-02-23,1,Edo,2,2
IBD031819,Security Operatives Kills 1,2025-02-23,2025-02-23,1,Katsina,2,2
IBD031816,Man Vs Friend,2025-02-23,2025-02-23,1,Niger,2,2
IBD031907,Revenue Collector Vs Truck Driver,2025-02-23,2025-02-23,1,Edo,2,2
IBD031825,Auto Crash,2025-02-23,2025-02-23,2,Oyo,2,2
IBD031817,Student Drowns,2025-02-23,2025-02-23,1,Bayelsa,2,2
IBD031841,Fish Poison,2025-02-22,2025-02-22,4,Taraba,2,2
IBD031800,Man Drowns,2025-02-22,2025-02-22,1,Ogun,2,2
IBD031806,Naf Kill Bandits,2025-02-22,2025-02-22,23,Zamfara,2,2
IBD031804,Car Accident,2025-02-22,2025-02-22,4,Jigawa,2,2
IBD031835,Ritual Killing,2025-02-22,2025-02-22,1,Edo,2,2
IBD031799,Auto Crash,2025-02-22,2025-02-22,1,Delta,2,2
IBD031803,Farmer,2025-02-22,2025-02-22,1,Ogun,2,2
IBD031796,Domestic Violence,2025-02-22,2025-02-22,1,Edo,2,2
IBD031795,Witchcraft Suspect,2025-02-21,2025-02-21,1,Borno,2,2
IBD031814,Banditry,2025-02-21,2025-02-21,1,Kaduna,2,2
IBD031798,Auto Crash,2025-02-21,2025-02-21,13,Niger,2,2
IBD031810,Motorcycle Thief,2025-02-21,2025-02-21,1,Abuja,2,2
IBD031805,Boy Drowns,2025-02-21,2025-02-21,1,Ogun,2,2
IBD031863,Kidnappers Kills 1,2025-02-21,2025-02-21,1,Zamfara,2,2
IBD031818,Domestic Violence,2025-02-21,2025-02-21,1,Lagos,2,2
IBD031827,Security Operatives Vs Bandits,2025-02-21,2025-02-21,4,Katsina,2,2
IBD031797,Communal Clash,2025-02-20,2025-02-21,12,Edo,2,2
IBD031793,Building Collapse,2025-02-20,2025-02-20,1,Yobe,2,2
IBD031802,Banditry,2025-02-20,2025-02-20,4,Niger,2,2
IBD031794,Police Vs Kidnappers,2025-02-20,2025-02-20,4,Ogun,2,2
IBD031792,Fallen Mast,2025-02-20,2025-02-20,1,Edo,2,2
IBD031786,Banditry,2025-02-19,2025-02-19,1,Niger,2,2
IBD031811,Ritual Domestic Violence,2025-02-19,2025-02-19,3,Abia,2,2
IBD031785,Explosion,2025-02-18,2025-02-18,3,Zamfara,2,2
IBD031768,Domestic Violence,2025-02-18,2025-02-18,2,Ekiti,2,2
IBD031782,Banditry,2025-02-18,2025-02-18,1,Zamfara,2,2
IBD031783,Kidnappers Attack,2025-02-18,2025-02-18,2,Abuja,2,2
IBD031769,Communal Clash,2025-02-18,2025-02-18,1,Ebonyi,2,2
IBD031759,Political Crisis,2025-02-17,2025-02-17,1,Osun,2,2
IBD031757,Political Crisis,2025-02-17,2025-02-17,2,Osun,2,2
IBD031758,Political Crisis,2025-02-17,2025-02-17,2,Osun,2,2
IBD031781,Army Vs Boko Haram,2025-02-17,2025-02-17,10,Borno,2,2
IBD031778,Assailants Vs Student,2025-02-17,2025-02-17,1,Ondo,2,2
IBD031753,Gunmen Attack,2025-02-17,2025-02-17,3,Benue,2,2
IBD031755,Cult Clash,2025-02-17,2025-02-17,1,Delta,2,2
IBD031771,Auto Crash,2025-02-16,2025-02-16,1,Ogun,2,2
IBD031763,Hoodlums Vs Motorcyclist,2025-02-16,2025-02-16,1,Abuja,2,2
IBD031878,Extrajudicial Killing,2025-02-16,2025-02-16,1,Ondo,2,2
IBD031756,Inferno,2025-02-16,2025-02-16,3,Ondo,2,2
IBD031760,Auto Crash,2025-02-16,2025-02-16,8,Imo,2,2
IBD031766,Ritual Killing,2025-02-16,2025-02-16,1,Ogun,2,2
IBD031742,Security Operatives Vs Armed Robber,2025-02-16,2025-02-16,1,Ogun,2,2
IBD031761,Auto Crash,2025-02-16,2025-02-16,7,Kogi,2,2
IBD031770,Kidnappers Attack,2025-02-16,2025-02-16,1,Imo,2,2
IBD031772,Auto Crash,2025-02-16,2025-02-16,17,Delta,2,2
IBD031767,Security Operatives Vs Student,2025-02-16,2025-02-16,1,Kaduna,2,2
IBD031743,Mysterious Death,2025-02-15,2025-02-15,1,Ogun,2,2
IBD031749,Gunmen Attack,2025-02-15,2025-02-15,1,Kwara,2,2
IBD031751,Kidnapers Vs Health Worker,2025-02-15,2025-02-15,1,Ondo,2,2
IBD031745,Mob Vs Robbers,2025-02-15,2025-02-15,2,Abuja,2,2
IBD031752,Herdsmen Vs Farmers,2025-02-15,2025-02-15,22,Benue,2,2
IBD031750,Mob Vs Ndlea Officer Auto Crash,2025-02-15,2025-02-15,4,Kaduna,2,2
IBD031849,Friends Murder Man,2025-02-15,2025-02-15,1,Lagos,2,2
IBD031744,Corpse Found,2025-02-15,2025-02-15,1,Kano,2,2
IBD031748,Army Vs Villagers,2025-02-15,2025-02-15,10,Katsina,2,2
IBD031920,Domestic Violence,2025-02-15,2025-02-15,1,Cross River,2,2
IBD031960,Fire Incidents,2025-02-15,2025-02-15,7,Kano,2,2
IBD031737,Police Vs Kidnappers,2025-02-14,2025-02-14,4,Kebbi,2,2
IBD031859,Domestic Violence,2025-02-14,2025-02-14,1,Ondo,2,2
IBD031740,Assailant Vs Traditional Ruler,2025-02-14,2025-02-14,1,Abia,2,2
IBD031736,Auto Crash,2025-02-14,2025-02-14,8,Anambra,2,2
IBD031765,Cult Clash,2025-02-14,2025-02-15,2,Lagos,2,2
IBD031746,Extrajudicial Killing,2025-02-14,2025-02-14,1,Ondo,2,2
IBD031732,Kidnappers Set Ablaze,2025-02-13,2025-02-13,2,Delta,2,2
IBD031733,Auto Crash,2025-02-13,2025-02-13,1,Ogun,2,2
IBD031764,Cult Clash,2025-02-13,2025-02-13,1,Ogun,2,2
IBD031780,Man Vs Friend,2025-02-13,2025-02-13,1,Abuja,2,2
IBD031779,Extrajudicial Killing,2025-02-13,2025-02-13,2,Delta,2,2
IBD031734,Auto Crash,2025-02-13,2025-02-13,23,Kano,2,2
